fare_id,route_id,origin_id,destination_id,contains_id
190,,SFIA,ROCK,
183,,SFIA,WOAK,
179,,SFIA,EMBR,
179,,SFIA,MONT,
179,,SFIA,POWL,
179,,SFIA,CIVC,
178,,SFIA,16TH,
176,,SFIA,24TH,
171,,SFIA,GLEN,
168,,SFIA,BALB,
163,,SFIA,DALY,
314,,SFIA,OAKL,
64,,MLBR,SSAN,
64,,MLBR,SBRN,
88,,MLBR,SFIA,
115,,MLBR,MLBR,
143,,MLBR,WDUB,
118,,MLBR,RICH,
113,,MLBR,DELN,
110,,MLBR,PLZA,
106,,MLBR,NBRK,
105,,MLBR,DBRK,
103,,MLBR,ASHB,
101,,MLBR,MCAR,
99,,MLBR,19TH,
99,,MLBR,12TH,
99,,MLBR,LAKE,
105,,MLBR,FTVL,
109,,MLBR,COLS,
114,,MLBR,SANL,
119,,MLBR,BAYF,
125,,MLBR,HAYW,
131,,MLBR,SHAY,
140,,MLBR,UCTY,
147,,MLBR,FRMT,
125,,MLBR,CAST,
147,,MLBR,DUBL,
155,,MLBR,PITT,
145,,MLBR,NCON,
75,,MLBR,COLM,
141,,MLBR,CONC,
133,,MLBR,PHIL,
130,,MLBR,WCRK,
122,,MLBR,LAFY,
115,,MLBR,ORIN,
104,,MLBR,ROCK,
98,,MLBR,WOAK,
93,,MLBR,EMBR,
93,,MLBR,MONT,
93,,MLBR,POWL,
93,,MLBR,CIVC,
92,,MLBR,16TH,
91,,MLBR,24TH,
86,,MLBR,GLEN,
83,,MLBR,BALB,
79,,MLBR,DALY,
229,,MLBR,OAKL,
132,,WDUB,SSAN,
137,,WDUB,SBRN,
229,,WDUB,SFIA,
143,,WDUB,MLBR,
115,,WDUB,WDUB,
103,,WDUB,RICH,
99,,WDUB,DELN,
96,,WDUB,PLZA,
92,,WDUB,NBRK,
91,,WDUB,DBRK,
89,,WDUB,ASHB,
87,,WDUB,MCAR,
85,,WDUB,19TH,
85,,WDUB,12TH,
85,,WDUB,LAKE,
80,,WDUB,FTVL,
76,,WDUB,COLS,
70,,WDUB,SANL,
39,,WDUB,BAYF,
71,,WDUB,HAYW,
77,,WDUB,SHAY,
86,,WDUB,UCTY,
93,,WDUB,FRMT,
39,,WDUB,CAST,
39,,WDUB,DUBL,
137,,WDUB,PITT,
127,,WDUB,NCON,
128,,WDUB,COLM,
123,,WDUB,CONC,
115,,WDUB,PHIL,
112,,WDUB,WCRK,
104,,WDUB,LAFY,
97,,WDUB,ORIN,
87,,WDUB,ROCK,
87,,WDUB,WOAK,
119,,WDUB,EMBR,
119,,WDUB,MONT,
119,,WDUB,POWL,
119,,WDUB,CIVC,
121,,WDUB,16TH,
122,,WDUB,24TH,
125,,WDUB,GLEN,
126,,WDUB,BALB,
129,,WDUB,DALY,
196,,WDUB,OAKL,
106,,RICH,SSAN,
111,,RICH,SBRN,
203,,RICH,SFIA,
118,,RICH,MLBR,
103,,RICH,WDUB,
115,,RICH,RICH,
39,,RICH,DELN,
39,,RICH,PLZA,
39,,RICH,NBRK,
39,,RICH,DBRK,
39,,RICH,ASHB,
54,,RICH,MCAR,
58,,RICH,19TH,
58,,RICH,12TH,
58,,RICH,LAKE,
64,,RICH,FTVL,
68,,RICH,COLS,
74,,RICH,SANL,
79,,RICH,BAYF,
84,,RICH,HAYW,
90,,RICH,SHAY,
100,,RICH,UCTY,
107,,RICH,FRMT,
84,,RICH,CAST,
106,,RICH,DUBL,
107,,RICH,PITT,
97,,RICH,NCON,
102,,RICH,COLM,
93,,RICH,CONC,
85,,RICH,PHIL,
82,,RICH,WCRK,
75,,RICH,LAFY,
67,,RICH,ORIN,
54,,RICH,ROCK,
61,,RICH,WOAK,
93,,RICH,EMBR,
93,,RICH,MONT,
93,,RICH,POWL,
93,,RICH,CIVC,
95,,RICH,16TH,
96,,RICH,24TH,
99,,RICH,GLEN,
100,,RICH,BALB,
103,,RICH,DALY,
188,,RICH,OAKL,
102,,DELN,SSAN,
107,,DELN,SBRN,
199,,DELN,SFIA,
113,,DELN,MLBR,
99,,DELN,WDUB,
39,,DELN,RICH,
115,,DELN,DELN,
39,,DELN,PLZA,
39,,DELN,NBRK,
39,,DELN,DBRK,
39,,DELN,ASHB,
47,,DELN,MCAR,
51,,DELN,19TH,
51,,DELN,12TH,
51,,DELN,LAKE,
60,,DELN,FTVL,
64,,DELN,COLS,
70,,DELN,SANL,
74,,DELN,BAYF,
80,,DELN,HAYW,
86,,DELN,SHAY,
96,,DELN,UCTY,
103,,DELN,FRMT,
80,,DELN,CAST,
102,,DELN,DUBL,
104,,DELN,PITT,
93,,DELN,NCON,
98,,DELN,COLM,
89,,DELN,CONC,
81,,DELN,PHIL,
78,,DELN,WCRK,
71,,DELN,LAFY,
64,,DELN,ORIN,
48,,DELN,ROCK,
54,,DELN,WOAK,
89,,DELN,EMBR,
89,,DELN,MONT,
89,,DELN,POWL,
89,,DELN,CIVC,
91,,DELN,16TH,
92,,DELN,24TH,
95,,DELN,GLEN,
96,,DELN,BALB,
98,,DELN,DALY,
184,,DELN,OAKL,
98,,PLZA,SSAN,
104,,PLZA,SBRN,
196,,PLZA,SFIA,
110,,PLZA,MLBR,
96,,PLZA,WDUB,
39,,PLZA,RICH,
39,,PLZA,DELN,
115,,PLZA,PLZA,
39,,PLZA,NBRK,
39,,PLZA,DBRK,
39,,PLZA,ASHB,
41,,PLZA,MCAR,
45,,PLZA,19TH,
45,,PLZA,12TH,
45,,PLZA,LAKE,
55,,PLZA,FTVL,
61,,PLZA,COLS,
66,,PLZA,SANL,
71,,PLZA,BAYF,
77,,PLZA,HAYW,
83,,PLZA,SHAY,
93,,PLZA,UCTY,
99,,PLZA,FRMT,
77,,PLZA,CAST,
99,,PLZA,DUBL,
100,,PLZA,PITT,
90,,PLZA,NCON,
95,,PLZA,COLM,
86,,PLZA,CONC,
78,,PLZA,PHIL,
75,,PLZA,WCRK,
68,,PLZA,LAFY,
59,,PLZA,ORIN,
42,,PLZA,ROCK,
49,,PLZA,WOAK,
86,,PLZA,EMBR,
86,,PLZA,MONT,
86,,PLZA,POWL,
86,,PLZA,CIVC,
87,,PLZA,16TH,
88,,PLZA,24TH,
91,,PLZA,GLEN,
93,,PLZA,BALB,
95,,PLZA,DALY,
181,,PLZA,OAKL,
95,,NBRK,SSAN,
100,,NBRK,SBRN,
192,,NBRK,SFIA,
106,,NBRK,MLBR,
92,,NBRK,WDUB,
39,,NBRK,RICH,
39,,NBRK,DELN,
39,,NBRK,PLZA,
115,,NBRK,NBRK,
39,,NBRK,DBRK,
39,,NBRK,ASHB,
39,,NBRK,MCAR,
39,,NBRK,19TH,
39,,NBRK,12TH,
39,,NBRK,LAKE,
48,,NBRK,FTVL,
55,,NBRK,COLS,
63,,NBRK,SANL,
67,,NBRK,BAYF,
73,,NBRK,HAYW,
79,,NBRK,SHAY,
89,,NBRK,UCTY,
96,,NBRK,FRMT,
73,,NBRK,CAST,
95,,NBRK,DUBL,
97,,NBRK,PITT,
86,,NBRK,NCON,
91,,NBRK,COLM,
82,,NBRK,CONC,
74,,NBRK,PHIL,
71,,NBRK,WCRK,
64,,NBRK,LAFY,
52,,NBRK,ORIN,
39,,NBRK,ROCK,
43,,NBRK,WOAK,
82,,NBRK,EMBR,
82,,NBRK,MONT,
82,,NBRK,POWL,
82,,NBRK,CIVC,
84,,NBRK,16TH,
85,,NBRK,24TH,
88,,NBRK,GLEN,
89,,NBRK,BALB,
91,,NBRK,DALY,
175,,NBRK,OAKL,
93,,DBRK,SSAN,
99,,DBRK,SBRN,
191,,DBRK,SFIA,
105,,DBRK,MLBR,
91,,DBRK,WDUB,
39,,DBRK,RICH,
39,,DBRK,DELN,
39,,DBRK,PLZA,
39,,DBRK,NBRK,
115,,DBRK,DBRK,
39,,DBRK,ASHB,
39,,DBRK,MCAR,
39,,DBRK,19TH,
39,,DBRK,12TH,
39,,DBRK,LAKE,
46,,DBRK,FTVL,
52,,DBRK,COLS,
62,,DBRK,SANL,
67,,DBRK,BAYF,
72,,DBRK,HAYW,
78,,DBRK,SHAY,
88,,DBRK,UCTY,
95,,DBRK,FRMT,
72,,DBRK,CAST,
94,,DBRK,DUBL,
95,,DBRK,PITT,
85,,DBRK,NCON,
90,,DBRK,COLM,
81,,DBRK,CONC,
73,,DBRK,PHIL,
70,,DBRK,WCRK,
62,,DBRK,LAFY,
50,,DBRK,ORIN,
39,,DBRK,ROCK,
40,,DBRK,WOAK,
80,,DBRK,EMBR,
80,,DBRK,MONT,
80,,DBRK,POWL,
80,,DBRK,CIVC,
83,,DBRK,16TH,
83,,DBRK,24TH,
86,,DBRK,GLEN,
88,,DBRK,BALB,
90,,DBRK,DALY,
172,,DBRK,OAKL,
92,,ASHB,SSAN,
97,,ASHB,SBRN,
189,,ASHB,SFIA,
103,,ASHB,MLBR,
89,,ASHB,WDUB,
39,,ASHB,RICH,
39,,ASHB,DELN,
39,,ASHB,PLZA,
39,,ASHB,NBRK,
39,,ASHB,DBRK,
115,,ASHB,ASHB,
39,,ASHB,MCAR,
39,,ASHB,19TH,
39,,ASHB,12TH,
39,,ASHB,LAKE,
43,,ASHB,FTVL,
49,,ASHB,COLS,
58,,ASHB,SANL,
65,,ASHB,BAYF,
70,,ASHB,HAYW,
76,,ASHB,SHAY,
86,,ASHB,UCTY,
93,,ASHB,FRMT,
70,,ASHB,CAST,
93,,ASHB,DUBL,
95,,ASHB,PITT,
84,,ASHB,NCON,
88,,ASHB,COLM,
80,,ASHB,CONC,
72,,ASHB,PHIL,
69,,ASHB,WCRK,
59,,ASHB,LAFY,
47,,ASHB,ORIN,
39,,ASHB,ROCK,
39,,ASHB,WOAK,
77,,ASHB,EMBR,
77,,ASHB,MONT,
77,,ASHB,POWL,
77,,ASHB,CIVC,
81,,ASHB,16TH,
82,,ASHB,24TH,
85,,ASHB,GLEN,
86,,ASHB,BALB,
89,,ASHB,DALY,
169,,ASHB,OAKL,
89,,MCAR,SSAN,
95,,MCAR,SBRN,
187,,MCAR,SFIA,
101,,MCAR,MLBR,
87,,MCAR,WDUB,
54,,MCAR,RICH,
47,,MCAR,DELN,
41,,MCAR,PLZA,
39,,MCAR,NBRK,
39,,MCAR,DBRK,
39,,MCAR,ASHB,
115,,MCAR,MCAR,
39,,MCAR,19TH,
39,,MCAR,12TH,
39,,MCAR,LAKE,
39,,MCAR,FTVL,
45,,MCAR,COLS,
54,,MCAR,SANL,
61,,MCAR,BAYF,
68,,MCAR,HAYW,
74,,MCAR,SHAY,
83,,MCAR,UCTY,
90,,MCAR,FRMT,
68,,MCAR,CAST,
90,,MCAR,DUBL,
95,,MCAR,PITT,
84,,MCAR,NCON,
86,,MCAR,COLM,
80,,MCAR,CONC,
72,,MCAR,PHIL,
69,,MCAR,WCRK,
58,,MCAR,LAFY,
39,,MCAR,ORIN,
39,,MCAR,ROCK,
39,,MCAR,WOAK,
73,,MCAR,EMBR,
73,,MCAR,MONT,
73,,MCAR,POWL,
73,,MCAR,CIVC,
76,,MCAR,16TH,
78,,MCAR,24TH,
82,,MCAR,GLEN,
84,,MCAR,BALB,
86,,MCAR,DALY,
165,,MCAR,OAKL,
87,,19TH,SSAN,
93,,19TH,SBRN,
185,,19TH,SFIA,
99,,19TH,MLBR,
85,,19TH,WDUB,
58,,19TH,RICH,
51,,19TH,DELN,
45,,19TH,PLZA,
39,,19TH,NBRK,
39,,19TH,DBRK,
39,,19TH,ASHB,
39,,19TH,MCAR,
115,,19TH,19TH,
39,,19TH,12TH,
39,,19TH,LAKE,
39,,19TH,FTVL,
39,,19TH,COLS,
50,,19TH,SANL,
57,,19TH,BAYF,
66,,19TH,HAYW,
72,,19TH,SHAY,
82,,19TH,UCTY,
88,,19TH,FRMT,
66,,19TH,CAST,
88,,19TH,DUBL,
95,,19TH,PITT,
85,,19TH,NCON,
84,,19TH,COLM,
81,,19TH,CONC,
73,,19TH,PHIL,
70,,19TH,WCRK,
61,,19TH,LAFY,
49,,19TH,ORIN,
39,,19TH,ROCK,
39,,19TH,WOAK,
69,,19TH,EMBR,
69,,19TH,MONT,
69,,19TH,POWL,
69,,19TH,CIVC,
72,,19TH,16TH,
74,,19TH,24TH,
79,,19TH,GLEN,
82,,19TH,BALB,
84,,19TH,DALY,
159,,19TH,OAKL,
87,,12TH,SSAN,
93,,12TH,SBRN,
185,,12TH,SFIA,
99,,12TH,MLBR,
85,,12TH,WDUB,
58,,12TH,RICH,
51,,12TH,DELN,
45,,12TH,PLZA,
39,,12TH,NBRK,
39,,12TH,DBRK,
39,,12TH,ASHB,
39,,12TH,MCAR,
39,,12TH,19TH,
115,,12TH,12TH,
39,,12TH,LAKE,
39,,12TH,FTVL,
39,,12TH,COLS,
50,,12TH,SANL,
57,,12TH,BAYF,
66,,12TH,HAYW,
72,,12TH,SHAY,
82,,12TH,UCTY,
88,,12TH,FRMT,
66,,12TH,CAST,
88,,12TH,DUBL,
95,,12TH,PITT,
85,,12TH,NCON,
84,,12TH,COLM,
81,,12TH,CONC,
73,,12TH,PHIL,
70,,12TH,WCRK,
61,,12TH,LAFY,
49,,12TH,ORIN,
39,,12TH,ROCK,
39,,12TH,WOAK,
69,,12TH,EMBR,
69,,12TH,MONT,
69,,12TH,POWL,
69,,12TH,CIVC,
72,,12TH,16TH,
74,,12TH,24TH,
79,,12TH,GLEN,
82,,12TH,BALB,
84,,12TH,DALY,
159,,12TH,OAKL,
87,,LAKE,SSAN,
93,,LAKE,SBRN,
185,,LAKE,SFIA,
99,,LAKE,MLBR,
85,,LAKE,WDUB,
58,,LAKE,RICH,
51,,LAKE,DELN,
45,,LAKE,PLZA,
39,,LAKE,NBRK,
39,,LAKE,DBRK,
39,,LAKE,ASHB,
39,,LAKE,MCAR,
39,,LAKE,19TH,
39,,LAKE,12TH,
115,,LAKE,LAKE,
39,,LAKE,FTVL,
39,,LAKE,COLS,
50,,LAKE,SANL,
57,,LAKE,BAYF,
66,,LAKE,HAYW,
72,,LAKE,SHAY,
82,,LAKE,UCTY,
88,,LAKE,FRMT,
66,,LAKE,CAST,
88,,LAKE,DUBL,
95,,LAKE,PITT,
85,,LAKE,NCON,
84,,LAKE,COLM,
81,,LAKE,CONC,
73,,LAKE,PHIL,
70,,LAKE,WCRK,
61,,LAKE,LAFY,
49,,LAKE,ORIN,
39,,LAKE,ROCK,
39,,LAKE,WOAK,
69,,LAKE,EMBR,
69,,LAKE,MONT,
69,,LAKE,POWL,
69,,LAKE,CIVC,
72,,LAKE,16TH,
74,,LAKE,24TH,
79,,LAKE,GLEN,
82,,LAKE,BALB,
84,,LAKE,DALY,
159,,LAKE,OAKL,
93,,FTVL,SSAN,
98,,FTVL,SBRN,
190,,FTVL,SFIA,
105,,FTVL,MLBR,
80,,FTVL,WDUB,
64,,FTVL,RICH,
60,,FTVL,DELN,
55,,FTVL,PLZA,
48,,FTVL,NBRK,
46,,FTVL,DBRK,
43,,FTVL,ASHB,
39,,FTVL,MCAR,
39,,FTVL,19TH,
39,,FTVL,12TH,
39,,FTVL,LAKE,
115,,FTVL,FTVL,
39,,FTVL,COLS,
39,,FTVL,SANL,
48,,FTVL,BAYF,
57,,FTVL,HAYW,
67,,FTVL,SHAY,
76,,FTVL,UCTY,
83,,FTVL,FRMT,
57,,FTVL,CAST,
83,,FTVL,DUBL,
98,,FTVL,PITT,
88,,FTVL,NCON,
89,,FTVL,COLM,
84,,FTVL,CONC,
76,,FTVL,PHIL,
73,,FTVL,WCRK,
66,,FTVL,LAFY,
55,,FTVL,ORIN,
39,,FTVL,ROCK,
39,,FTVL,WOAK,
77,,FTVL,EMBR,
77,,FTVL,MONT,
77,,FTVL,POWL,
77,,FTVL,CIVC,
81,,FTVL,16TH,
83,,FTVL,24TH,
86,,FTVL,GLEN,
87,,FTVL,BALB,
90,,FTVL,DALY,
159,,FTVL,OAKL,
97,,COLS,SSAN,
102,,COLS,SBRN,
194,,COLS,SFIA,
109,,COLS,MLBR,
76,,COLS,WDUB,
68,,COLS,RICH,
64,,COLS,DELN,
61,,COLS,PLZA,
55,,COLS,NBRK,
52,,COLS,DBRK,
49,,COLS,ASHB,
45,,COLS,MCAR,
39,,COLS,19TH,
39,,COLS,12TH,
39,,COLS,LAKE,
39,,COLS,FTVL,
115,,COLS,COLS,
39,,COLS,SANL,
39,,COLS,BAYF,
51,,COLS,HAYW,
60,,COLS,SHAY,
73,,COLS,UCTY,
79,,COLS,FRMT,
51,,COLS,CAST,
79,,COLS,DUBL,
102,,COLS,PITT,
92,,COLS,NCON,
93,,COLS,COLM,
88,,COLS,CONC,
80,,COLS,PHIL,
77,,COLS,WCRK,
69,,COLS,LAFY,
62,,COLS,ORIN,
46,,COLS,ROCK,
43,,COLS,WOAK,
84,,COLS,EMBR,
84,,COLS,MONT,
84,,COLS,POWL,
84,,COLS,CIVC,
86,,COLS,16TH,
87,,COLS,24TH,
89,,COLS,GLEN,
91,,COLS,BALB,
94,,COLS,DALY,
120,,COLS,OAKL,
103,,SANL,SSAN,
108,,SANL,SBRN,
200,,SANL,SFIA,
114,,SANL,MLBR,
70,,SANL,WDUB,
74,,SANL,RICH,
70,,SANL,DELN,
66,,SANL,PLZA,
63,,SANL,NBRK,
62,,SANL,DBRK,
58,,SANL,ASHB,
54,,SANL,MCAR,
50,,SANL,19TH,
50,,SANL,12TH,
50,,SANL,LAKE,
39,,SANL,FTVL,
39,,SANL,COLS,
115,,SANL,SANL,
39,,SANL,BAYF,
39,,SANL,HAYW,
51,,SANL,SHAY,
65,,SANL,UCTY,
74,,SANL,FRMT,
39,,SANL,CAST,
73,,SANL,DUBL,
108,,SANL,PITT,
98,,SANL,NCON,
99,,SANL,COLM,
94,,SANL,CONC,
86,,SANL,PHIL,
82,,SANL,WCRK,
76,,SANL,LAFY,
68,,SANL,ORIN,
55,,SANL,ROCK,
53,,SANL,WOAK,
90,,SANL,EMBR,
90,,SANL,MONT,
90,,SANL,POWL,
90,,SANL,CIVC,
92,,SANL,16TH,
93,,SANL,24TH,
96,,SANL,GLEN,
97,,SANL,BALB,
99,,SANL,DALY,
159,,SANL,OAKL,
107,,BAYF,SSAN,
113,,BAYF,SBRN,
205,,BAYF,SFIA,
119,,BAYF,MLBR,
39,,BAYF,WDUB,
79,,BAYF,RICH,
74,,BAYF,DELN,
71,,BAYF,PLZA,
67,,BAYF,NBRK,
67,,BAYF,DBRK,
65,,BAYF,ASHB,
61,,BAYF,MCAR,
57,,BAYF,19TH,
57,,BAYF,12TH,
57,,BAYF,LAKE,
48,,BAYF,FTVL,
39,,BAYF,COLS,
39,,BAYF,SANL,
115,,BAYF,BAYF,
39,,BAYF,HAYW,
39,,BAYF,SHAY,
39,,BAYF,UCTY,
39,,BAYF,FRMT,
39,,BAYF,CAST,
39,,BAYF,DUBL,
113,,BAYF,PITT,
102,,BAYF,NCON,
104,,BAYF,COLM,
98,,BAYF,CONC,
90,,BAYF,PHIL,
87,,BAYF,WCRK,
80,,BAYF,LAFY,
72,,BAYF,ORIN,
61,,BAYF,ROCK,
61,,BAYF,WOAK,
95,,BAYF,EMBR,
95,,BAYF,MONT,
95,,BAYF,POWL,
95,,BAYF,CIVC,
96,,BAYF,16TH,
97,,BAYF,24TH,
100,,BAYF,GLEN,
102,,BAYF,BALB,
104,,BAYF,DALY,
159,,BAYF,OAKL,
113,,HAYW,SSAN,
118,,HAYW,SBRN,
211,,HAYW,SFIA,
125,,HAYW,MLBR,
71,,HAYW,WDUB,
84,,HAYW,RICH,
80,,HAYW,DELN,
77,,HAYW,PLZA,
73,,HAYW,NBRK,
72,,HAYW,DBRK,
70,,HAYW,ASHB,
68,,HAYW,MCAR,
66,,HAYW,19TH,
66,,HAYW,12TH,
66,,HAYW,LAKE,
57,,HAYW,FTVL,
51,,HAYW,COLS,
39,,HAYW,SANL,
39,,HAYW,BAYF,
115,,HAYW,HAYW,
39,,HAYW,SHAY,
39,,HAYW,UCTY,
39,,HAYW,FRMT,
39,,HAYW,CAST,
74,,HAYW,DUBL,
118,,HAYW,PITT,
108,,HAYW,NCON,
109,,HAYW,COLM,
104,,HAYW,CONC,
96,,HAYW,PHIL,
93,,HAYW,WCRK,
86,,HAYW,LAFY,
78,,HAYW,ORIN,
68,,HAYW,ROCK,
68,,HAYW,WOAK,
100,,HAYW,EMBR,
100,,HAYW,MONT,
100,,HAYW,POWL,
100,,HAYW,CIVC,
102,,HAYW,16TH,
103,,HAYW,24TH,
106,,HAYW,GLEN,
107,,HAYW,BALB,
110,,HAYW,DALY,
171,,HAYW,OAKL,
119,,SHAY,SSAN,
124,,SHAY,SBRN,
216,,SHAY,SFIA,
131,,SHAY,MLBR,
77,,SHAY,WDUB,
90,,SHAY,RICH,
86,,SHAY,DELN,
83,,SHAY,PLZA,
79,,SHAY,NBRK,
78,,SHAY,DBRK,
76,,SHAY,ASHB,
74,,SHAY,MCAR,
72,,SHAY,19TH,
72,,SHAY,12TH,
72,,SHAY,LAKE,
67,,SHAY,FTVL,
60,,SHAY,COLS,
51,,SHAY,SANL,
39,,SHAY,BAYF,
39,,SHAY,HAYW,
115,,SHAY,SHAY,
39,,SHAY,UCTY,
39,,SHAY,FRMT,
52,,SHAY,CAST,
80,,SHAY,DUBL,
124,,SHAY,PITT,
114,,SHAY,NCON,
115,,SHAY,COLM,
110,,SHAY,CONC,
102,,SHAY,PHIL,
99,,SHAY,WCRK,
92,,SHAY,LAFY,
84,,SHAY,ORIN,
74,,SHAY,ROCK,
74,,SHAY,WOAK,
106,,SHAY,EMBR,
106,,SHAY,MONT,
106,,SHAY,POWL,
106,,SHAY,CIVC,
108,,SHAY,16TH,
109,,SHAY,24TH,
112,,SHAY,GLEN,
113,,SHAY,BALB,
116,,SHAY,DALY,
180,,SHAY,OAKL,
129,,UCTY,SSAN,
134,,UCTY,SBRN,
226,,UCTY,SFIA,
140,,UCTY,MLBR,
86,,UCTY,WDUB,
100,,UCTY,RICH,
96,,UCTY,DELN,
93,,UCTY,PLZA,
89,,UCTY,NBRK,
88,,UCTY,DBRK,
86,,UCTY,ASHB,
83,,UCTY,MCAR,
82,,UCTY,19TH,
82,,UCTY,12TH,
82,,UCTY,LAKE,
76,,UCTY,FTVL,
73,,UCTY,COLS,
65,,UCTY,SANL,
39,,UCTY,BAYF,
39,,UCTY,HAYW,
39,,UCTY,SHAY,
115,,UCTY,UCTY,
39,,UCTY,FRMT,
67,,UCTY,CAST,
90,,UCTY,DUBL,
134,,UCTY,PITT,
124,,UCTY,NCON,
125,,UCTY,COLM,
120,,UCTY,CONC,
111,,UCTY,PHIL,
108,,UCTY,WCRK,
101,,UCTY,LAFY,
94,,UCTY,ORIN,
83,,UCTY,ROCK,
84,,UCTY,WOAK,
116,,UCTY,EMBR,
116,,UCTY,MONT,
116,,UCTY,POWL,
116,,UCTY,CIVC,
117,,UCTY,16TH,
119,,UCTY,24TH,
122,,UCTY,GLEN,
123,,UCTY,BALB,
125,,UCTY,DALY,
193,,UCTY,OAKL,
135,,FRMT,SSAN,
141,,FRMT,SBRN,
233,,FRMT,SFIA,
147,,FRMT,MLBR,
93,,FRMT,WDUB,
107,,FRMT,RICH,
103,,FRMT,DELN,
99,,FRMT,PLZA,
96,,FRMT,NBRK,
95,,FRMT,DBRK,
93,,FRMT,ASHB,
90,,FRMT,MCAR,
88,,FRMT,19TH,
88,,FRMT,12TH,
88,,FRMT,LAKE,
83,,FRMT,FTVL,
79,,FRMT,COLS,
74,,FRMT,SANL,
39,,FRMT,BAYF,
39,,FRMT,HAYW,
39,,FRMT,SHAY,
39,,FRMT,UCTY,
115,,FRMT,FRMT,
74,,FRMT,CAST,
96,,FRMT,DUBL,
141,,FRMT,PITT,
130,,FRMT,NCON,
132,,FRMT,COLM,
126,,FRMT,CONC,
118,,FRMT,PHIL,
115,,FRMT,WCRK,
108,,FRMT,LAFY,
101,,FRMT,ORIN,
90,,FRMT,ROCK,
90,,FRMT,WOAK,
123,,FRMT,EMBR,
123,,FRMT,MONT,
123,,FRMT,POWL,
123,,FRMT,CIVC,
124,,FRMT,16TH,
125,,FRMT,24TH,
128,,FRMT,GLEN,
130,,FRMT,BALB,
132,,FRMT,DALY,
199,,FRMT,OAKL,
113,,CAST,SSAN,
118,,CAST,SBRN,
210,,CAST,SFIA,
125,,CAST,MLBR,
39,,CAST,WDUB,
84,,CAST,RICH,
80,,CAST,DELN,
77,,CAST,PLZA,
73,,CAST,NBRK,
